id;nome;descrição;preço;estoque
1;Produto 1;Descrição detalhada do Produto 1;516.88;319
2;Produto 2;Descrição detalhada do Produto 2;564.33;27
3;Produto 3;Descrição detalhada do Produto 3;69.45;436
4;Produto 4;Descrição detalhada do Produto 4;556.95;482
5;Produto 5;Descrição detalhada do Produto 5;579.13;119
6;Produto 6;Descrição detalhada do Produto 6;372.48;352
7;Produto 7;Descrição detalhada do Produto 7;342.25;60
8;Produto 8;Descrição detalhada do Produto 8;956.33;421
9;Produto 9;Descrição detalhada do Produto 9;683.08;386
10;Produto 10;Descrição detalhada do Produto 10;921.35;271
11;Produto 11;Descrição detalhada do Produto 11;1044.59;261
12;Produto 12;Descrição detalhada do Produto 12;1376.16;320
13;Produto 13;Descrição detalhada do Produto 13;554.25;492
14;Produto 14;Descrição detalhada do Produto 14;716.84;447
15;Produto 15;Descrição detalhada do Produto 15;881.5;466
16;Produto 16;Descrição detalhada do Produto 16;173.7;137
17;Produto 17;Descrição detalhada do Produto 17;152.06;164
18;Produto 18;Descrição detalhada do Produto 18;289.38;139
19;Produto 19;Descrição detalhada do Produto 19;1422.2;118
20;Produto 20;Descrição detalhada do Produto 20;231.19;105
21;Produto 21;Descrição detalhada do Produto 21;460.73;488
22;Produto 22;Descrição detalhada do Produto 22;1483.27;236
23;Produto 23;Descrição detalhada do Produto 23;354.07;256
24;Produto 24;Descrição detalhada do Produto 24;1146.08;475
25;Produto 25;Descrição detalhada do Produto 25;1081.69;26
26;Produto 26;Descrição detalhada do Produto 26;1490.35;252
27;Produto 27;Descrição detalhada do Produto 27;207.2;359
28;Produto 28;Descrição detalhada do Produto 28;320.79;214
29;Produto 29;Descrição detalhada do Produto 29;589.91;27
30;Produto 30;Descrição detalhada do Produto 30;1222.78;381
31;Produto 31;Descrição detalhada do Produto 31;218.03;491
32;Produto 32;Descrição detalhada do Produto 32;636.07;96
33;Produto 33;Descrição detalhada do Produto 33;388.55;406
34;Produto 34;Descrição detalhada do Produto 34;25.5;91
35;Produto 35;Descrição detalhada do Produto 35;1354.22;121
36;Produto 36;Descrição detalhada do Produto 36;394.43;100
37;Produto 37;Descrição detalhada do Produto 37;363.43;259
38;Produto 38;Descrição detalhada do Produto 38;20.68;156
39;Produto 39;Descrição detalhada do Produto 39;1305.98;324
40;Produto 40;Descrição detalhada do Produto 40;1056.87;299
41;Produto 41;Descrição detalhada do Produto 41;788.49;61
42;Produto 42;Descrição detalhada do Produto 42;259.91;125
43;Produto 43;Descrição detalhada do Produto 43;830.05;288
44;Produto 44;Descrição detalhada do Produto 44;978.09;326
45;Produto 45;Descrição detalhada do Produto 45;969.69;386
46;Produto 46;Descrição detalhada do Produto 46;804.78;420
47;Produto 47;Descrição detalhada do Produto 47;1145.3;265
48;Produto 48;Descrição detalhada do Produto 48;443.77;413
49;Produto 49;Descrição detalhada do Produto 49;157.45;466
50;Produto 50;Descrição detalhada do Produto 50;773.56;400
51;Produto 51;Descrição detalhada do Produto 51;231.06;209
