id;nome;descrição;preço;estoque
1;Produto 1;Descrição detalhada do Produto 1;1477.8;419
2;Produto 2;Descrição detalhada do Produto 2;1377.85;188
3;Produto 3;Descrição detalhada do Produto 3;1403.05;46
4;Produto 4;Descrição detalhada do Produto 4;508.34;210
5;Produto 5;Descrição detalhada do Produto 5;977.46;150
6;Produto 6;Descrição detalhada do Produto 6;159.3;61
7;Produto 7;Descrição detalhada do Produto 7;1089.05;119
8;Produto 8;Descrição detalhada do Produto 8;228.42;153
9;Produto 9;Descrição detalhada do Produto 9;752.88;327
10;Produto 10;Descrição detalhada do Produto 10;443.27;389
11;Produto 11;Descrição detalhada do Produto 11;215.93;409
12;Produto 12;Descrição detalhada do Produto 12;1253.76;434
13;Produto 13;Descrição detalhada do Produto 13;1007.92;256
14;Produto 14;Descrição detalhada do Produto 14;1381.32;88
15;Produto 15;Descrição detalhada do Produto 15;536.26;6
16;Produto 16;Descrição detalhada do Produto 16;307.01;474
17;Produto 17;Descrição detalhada do Produto 17;899.26;110
18;Produto 18;Descrição detalhada do Produto 18;1301.8;148
19;Produto 19;Descrição detalhada do Produto 19;930.72;440
20;Produto 20;Descrição detalhada do Produto 20;158.41;80
21;Produto 21;Descrição detalhada do Produto 21;809.03;379
22;Produto 22;Descrição detalhada do Produto 22;1355.15;478
23;Produto 23;Descrição detalhada do Produto 23;43.34;460
24;Produto 24;Descrição detalhada do Produto 24;746.67;2
25;Produto 25;Descrição detalhada do Produto 25;1437.9;396
26;Produto 26;Descrição detalhada do Produto 26;1017.81;258
27;Produto 27;Descrição detalhada do Produto 27;200.88;49
28;Produto 28;Descrição detalhada do Produto 28;221.45;448
29;Produto 29;Descrição detalhada do Produto 29;61.93;66
30;Produto 30;Descrição detalhada do Produto 30;130.94;117
31;Produto 31;Descrição detalhada do Produto 31;1113.73;89
32;Produto 32;Descrição detalhada do Produto 32;111.34;2
33;Produto 33;Descrição detalhada do Produto 33;509.77;395
34;Produto 34;Descrição detalhada do Produto 34;628.86;466
35;Produto 35;Descrição detalhada do Produto 35;1185.52;331
36;Produto 36;Descrição detalhada do Produto 36;595.14;6
37;Produto 37;Descrição detalhada do Produto 37;252.6;216
38;Produto 38;Descrição detalhada do Produto 38;995.66;26
39;Produto 39;Descrição detalhada do Produto 39;1270.93;378
40;Produto 40;Descrição detalhada do Produto 40;552.97;100
41;Produto 41;Descrição detalhada do Produto 41;520.09;296
42;Produto 42;Descrição detalhada do Produto 42;942.72;409
43;Produto 43;Descrição detalhada do Produto 43;325.43;11
44;Produto 44;Descrição detalhada do Produto 44;196.91;498
45;Produto 45;Descrição detalhada do Produto 45;539.0;305
46;Produto 46;Descrição detalhada do Produto 46;719.58;362
47;Produto 47;Descrição detalhada do Produto 47;993.6;221
48;Produto 48;Descrição detalhada do Produto 48;302.99;452
49;Produto 49;Descrição detalhada do Produto 49;1486.68;403
50;Produto 50;Descrição detalhada do Produto 50;983.26;469
51;Produto 51;Descrição detalhada do Produto 51;1339.42;271
52;Produto 52;Descrição detalhada do Produto 52;1227.39;188
53;Produto 53;Descrição detalhada do Produto 53;1483.66;307
54;Produto 54;Descrição detalhada do Produto 54;675.88;343
55;Produto 55;Descrição detalhada do Produto 55;916.92;103
56;Produto 56;Descrição detalhada do Produto 56;307.44;32
57;Produto 57;Descrição detalhada do Produto 57;564.36;37
58;Produto 58;Descrição detalhada do Produto 58;495.02;218
59;Produto 59;Descrição detalhada do Produto 59;725.27;397
60;Produto 60;Descrição detalhada do Produto 60;226.15;497
61;Produto 61;Descrição detalhada do Produto 61;503.23;271
62;Produto 62;Descrição detalhada do Produto 62;1369.85;253
63;Produto 63;Descrição detalhada do Produto 63;843.64;188
64;Produto 64;Descrição detalhada do Produto 64;780.84;405
65;Produto 65;Descrição detalhada do Produto 65;1278.89;324
66;Produto 66;Descrição detalhada do Produto 66;214.37;89
67;Produto 67;Descrição detalhada do Produto 67;765.8;218
68;Produto 68;Descrição detalhada do Produto 68;1240.22;231
69;Produto 69;Descrição detalhada do Produto 69;725.08;371
70;Produto 70;Descrição detalhada do Produto 70;756.34;31
71;Produto 71;Descrição detalhada do Produto 71;1052.6;365
72;Produto 72;Descrição detalhada do Produto 72;1245.46;14
73;Produto 73;Descrição detalhada do Produto 73;1008.03;435
74;Produto 74;Descrição detalhada do Produto 74;829.59;234
75;Produto 75;Descrição detalhada do Produto 75;32.23;139
76;Produto 76;Descrição detalhada do Produto 76;1366.76;448
77;Produto 77;Descrição detalhada do Produto 77;609.3;174
78;Produto 78;Descrição detalhada do Produto 78;120.97;403
